Country,Population without sanitation
Albania,1510257
Algeria,35372793
Armenia,0
Australia,953489
Australia and New Zealand,6731124
Austria,7622207
Azerbaijan,32170
Bahrain,7933760
Bangladesh,143867
Belarus,101602412
Belgium,2446263
Bhutan,1391658
Bolivia,269906
Brazil,5592429
Bulgaria,110063772
Canada,2071142
Chad,5848045
Chile,4083407
China,1097478188
Colombia,14359986
Costa Rica,4330109
Croatia,465892876
Cuba,41194489
Cyprus,3516473
Czechia,1276690
Democratic Republic of Congo,7168276
Denmark,274714
Djibouti,1633671
Ecuador,75376452
Egypt,468145
Estonia,612858
Ethiopia,955685058
Finland,10129018
France,33805825
Gambia,91983
Georgia,104815248
Germany,879621
Ghana,1175581252
Greece,13944850
Greenland,1652992
Guinea-Bissau,2608995
Honduras,2405340
Hong Kong,26504434
Hungary,948282
Iceland,4596
India,1697301
Iraq,166688212
Ireland,4939577
Israel,1046053
Italy,1186267
Japan,55304
Jordan,766501736
Kiribati,22356537
Kyrgyzstan,840907
Laos,493668
Latvia,2557011
Lebanon,24060584
Lesotho,1809853
Libya,86612
Liechtenstein,0
Lithuania,488331
Luxembourg,361152737
Macao,2770174
Madagascar,435530554
Malawi,360631
Mali,770894665
Malta,5722164
Mexico,1151461
Mongolia,5312368
Montenegro,475
Morocco,167912
Myanmar,548726317
Nepal,1658617808
Netherlands,19917
New Zealand,221033
Niger,24256756
Nigeria,14165499
North Macedonia,15877975
Norway,35812
Palestine,57559882
Paraguay,0
Peru,1466498
Philippines,341456
Poland,22245476
Portugal,21203280
Puerto Rico,15586949
Qatar,427951
Romania,891083
Russia,19625617
Samoa,140866417
San Marino,250398481
Sao Tome and Principe,1829601
Saudi Arabia,1880507
Senegal,1736296
Serbia,2851661
Sierra Leone,16158890
Slovakia,43840917
Slovenia,3605080
Somalia,1538198
South Korea,1979779
Spain,79298
Sub-Saharan Africa,3420028
Suriname,57394587
Sweden,103082
Switzerland,10033
Tanzania,142930
Thailand,14444571
Togo,12423651
Tonga,7173095
Tunisia,6736410
Turkey,0
Ukraine,986028
United Arab Emirates,615508
United Kingdom,10714246
United States,29576
Venezuela,2025806
World,844318529
Yemen,433929
Zimbabwe,510068
,31047
,42785827
,51795990
,7346554
,68868
,2383619
,18302561
,12328190
,83274
,1295541
,5675637
,1372406389
,21998851
,308416949
,3623589055
,23747002
,10842989
